"ar1","ar2","ar3","ar4","ma1","ma2","ma3","sigma2","start_date","order","end_date"
NA,NA,NA,NA,NA,NA,NA,0.0146866344880158,1987-05-28,1,1987-07-09
NA,NA,NA,NA,NA,NA,NA,0.014573408194206,1987-05-29,1,1987-07-10
NA,NA,NA,NA,NA,NA,NA,0.0146662403257097,1987-06-01,1,1987-07-13
NA,NA,NA,NA,NA,NA,NA,0.0146648498445603,1987-06-02,1,1987-07-14
NA,NA,NA,NA,NA,NA,NA,0.0189419739292269,1987-06-03,1,1987-07-15
NA,NA,NA,NA,NA,NA,NA,0.0190704260287515,1987-06-04,1,1987-07-16
NA,NA,NA,NA,NA,NA,NA,0.0187706056514699,1987-06-05,1,1987-07-17
NA,NA,NA,NA,NA,NA,NA,0.0194556365243281,1987-06-08,1,1987-07-20
NA,NA,NA,NA,NA,NA,NA,0.0217256005948337,1987-06-09,1,1987-07-21
NA,NA,NA,NA,NA,NA,NA,0.0218135919433277,1987-06-10,1,1987-07-22
NA,NA,NA,NA,NA,NA,NA,0.0228731617031569,1987-06-11,1,1987-07-23
0.4,NA,NA,NA,NA,NA,NA,0.032310465594312,1987-06-16,1,1987-07-27
0.8,NA,NA,NA,NA,NA,NA,0.0937954863974751,1987-07-01,0,1987-08-11
0.77,NA,NA,NA,NA,NA,NA,0.0896646627543786,1987-07-02,0,1987-08-12
0.76,NA,NA,NA,NA,NA,NA,0.0895969795517482,1987-07-03,0,1987-08-13
0.76,NA,NA,NA,NA,NA,NA,0.0900354828269451,1987-07-06,0,1987-08-14
0.81,NA,NA,NA,NA,NA,NA,0.0983709654639416,1987-07-07,0,1987-08-17
NA,NA,NA,NA,NA,NA,NA,0.0853291514122151,1987-08-03,1,1987-09-11
NA,NA,NA,NA,NA,NA,NA,0.083948221223355,1987-08-04,1,1987-09-14
0.88,NA,NA,NA,NA,NA,NA,0.0682053870530762,1987-08-12,0,1987-09-22
0.85,NA,NA,NA,NA,NA,NA,0.067411410773435,1987-08-13,0,1987-09-23
0.81,NA,NA,NA,NA,NA,NA,0.0671505867412799,1987-08-14,0,1987-09-24
0.95,-0.33,NA,NA,NA,NA,NA,0.0536747179636103,1987-08-17,0,1987-09-25
0.71,NA,NA,NA,NA,NA,NA,0.0588128833270038,1987-08-18,0,1987-09-28
NA,NA,NA,NA,NA,NA,NA,0.0222107443813291,1987-09-07,1,1987-10-16
NA,NA,NA,NA,NA,NA,NA,0.0222679123039552,1987-09-08,1,1987-10-19
0.51,NA,NA,NA,0.85,NA,NA,0.0227288884412934,1987-09-24,0,1987-11-04
0.52,NA,NA,NA,0.89,NA,NA,0.0215325940402067,1987-09-25,0,1987-11-05
0.72,NA,NA,NA,0.59,NA,NA,0.0227280159552067,1987-09-28,0,1987-11-06
0.75,NA,NA,NA,0.98,NA,NA,0.0272856847397503,1987-09-29,0,1987-11-09
1.02,-0.37,NA,NA,NA,NA,NA,0.0345117843776819,1987-11-02,0,1987-12-11
NA,NA,NA,NA,0.72,NA,NA,0.0621862731248304,1987-11-03,0,1987-12-14
NA,NA,NA,NA,1.05,0.53,NA,0.0651223034011689,1987-11-04,0,1987-12-15
NA,NA,NA,NA,0.59,NA,NA,0.0823073279127314,1987-11-06,1,1987-12-17
0.83,NA,NA,NA,NA,NA,NA,0.19439140594017,1987-11-23,0,1988-01-05
0.81,NA,NA,NA,NA,NA,NA,0.214916086242016,1987-11-24,0,1988-01-06
0.78,NA,NA,NA,NA,NA,NA,0.241910629550675,1987-11-25,0,1988-01-08
0.78,NA,NA,NA,NA,NA,NA,0.244598613800975,1987-11-26,0,1988-01-11
0.79,NA,NA,NA,NA,NA,NA,0.265469438131429,1987-11-27,0,1988-01-12
0.78,NA,NA,NA,NA,NA,NA,0.265891280941331,1987-11-30,0,1988-01-13
0.77,NA,NA,NA,NA,NA,NA,0.264959449880802,1987-12-01,0,1988-01-14
0.77,NA,NA,NA,NA,NA,NA,0.264568953218594,1987-12-02,0,1988-01-15
0.77,NA,NA,NA,NA,NA,NA,0.264372350057965,1987-12-03,0,1988-01-18
0.76,NA,NA,NA,NA,NA,NA,0.265367185731919,1987-12-04,0,1988-01-19
0.73,NA,NA,NA,NA,NA,NA,0.26241139944897,1987-12-07,0,1988-01-20
0.72,NA,NA,NA,NA,NA,NA,0.260034431749227,1987-12-08,0,1988-01-21
0.7,NA,NA,NA,NA,NA,NA,0.261110146635987,1987-12-09,0,1988-01-22
0.7,NA,NA,NA,NA,NA,NA,0.263653466950917,1987-12-10,0,1988-01-25
0.7,NA,NA,NA,NA,NA,NA,0.269078073027104,1987-12-11,0,1988-01-27
0.71,NA,NA,NA,NA,NA,NA,0.240086086806913,1987-12-14,0,1988-01-28
0.73,NA,NA,NA,NA,NA,NA,0.231781114740351,1987-12-15,0,1988-01-29
0.74,NA,NA,NA,NA,NA,NA,0.233330482106739,1987-12-16,0,1988-02-01
0.8,NA,NA,NA,NA,NA,NA,0.218201286429076,1987-12-17,0,1988-02-02
0.74,NA,NA,NA,NA,NA,NA,0.201184218612458,1987-12-18,0,1988-02-03
-0.86,NA,NA,NA,0.59,NA,NA,0.124207882312877,1987-12-22,1,1988-02-05
-0.26,0.31,NA,NA,NA,NA,NA,0.119612748260962,1987-12-23,1,1988-02-08
-0.26,0.33,NA,NA,NA,NA,NA,0.116654439985219,1987-12-24,1,1988-02-09
-0.24,0.32,NA,NA,NA,NA,NA,0.121674512174303,1987-12-28,1,1988-02-10
-0.94,NA,NA,NA,0.68,NA,NA,0.102920398943037,1987-12-29,1,1988-02-11
-0.27,0.33,NA,NA,NA,NA,NA,0.105686748734745,1987-12-30,1,1988-02-12
-0.94,NA,NA,NA,0.67,NA,NA,0.103158067038996,1987-12-31,1,1988-02-15
-0.94,NA,NA,NA,0.64,NA,NA,0.0988635167201251,1988-01-04,1,1988-02-16
NA,NA,NA,NA,NA,NA,NA,0.0506323852274229,1988-01-15,1,1988-02-26
NA,NA,NA,NA,NA,NA,NA,0.0492485242326401,1988-01-18,1,1988-02-29
NA,NA,NA,NA,NA,NA,NA,0.0522714554555624,1988-01-19,1,1988-03-01
NA,NA,NA,NA,NA,NA,NA,0.0539584296064112,1988-01-20,1,1988-03-02
NA,NA,NA,NA,NA,NA,NA,0.0528195958110246,1988-01-21,1,1988-03-03
NA,NA,NA,NA,NA,NA,NA,0.0504514930147843,1988-01-22,1,1988-03-04
NA,NA,NA,NA,NA,NA,NA,0.0495772499377878,1988-01-25,1,1988-03-07
NA,NA,NA,NA,NA,NA,NA,0.0476672609508135,1988-01-27,1,1988-03-08
NA,NA,NA,NA,NA,NA,NA,0.0498646048173166,1988-01-28,1,1988-03-09
0.89,NA,NA,NA,NA,NA,NA,0.0915036066550549,1988-02-15,0,1988-03-25
0.89,NA,NA,NA,NA,NA,NA,0.0919155690379637,1988-02-16,0,1988-03-28
0.9,NA,NA,NA,NA,NA,NA,0.0906464911834872,1988-02-17,0,1988-03-29
0.9,NA,NA,NA,NA,NA,NA,0.0867398300202794,1988-02-18,0,1988-03-30
NA,NA,NA,NA,NA,NA,NA,0.0772967561695176,1988-03-01,1,1988-04-13
NA,NA,NA,NA,NA,NA,NA,0.0696825955951126,1988-03-02,1,1988-04-14
NA,NA,NA,NA,NA,NA,NA,0.0696827796179172,1988-03-03,1,1988-04-15
NA,NA,NA,NA,NA,NA,NA,0.077601904333762,1988-03-04,1,1988-04-18
NA,NA,NA,NA,NA,NA,NA,0.0851285754991224,1988-03-07,1,1988-04-19
NA,NA,NA,NA,NA,NA,NA,0.0885365748541681,1988-03-08,1,1988-04-20
NA,NA,NA,NA,NA,NA,NA,0.0888030886087691,1988-03-09,1,1988-04-21
NA,NA,NA,NA,NA,NA,NA,0.0833267577244991,1988-03-10,1,1988-04-22
NA,NA,NA,NA,NA,NA,NA,0.063972219648012,1988-03-14,1,1988-04-26
NA,NA,NA,NA,NA,NA,NA,0.0642005316841299,1988-03-15,1,1988-04-27
NA,NA,NA,NA,NA,NA,NA,0.0771545609215579,1988-03-16,1,1988-04-28
0.88,NA,NA,NA,NA,NA,NA,0.0740555371204207,1988-03-30,0,1988-05-12
0.88,NA,NA,NA,NA,NA,NA,0.0742573923188609,1988-03-31,0,1988-05-13
0.88,NA,NA,NA,NA,NA,NA,0.0739849434417049,1988-04-05,0,1988-05-16
0.88,NA,NA,NA,NA,NA,NA,0.0734652964824925,1988-04-06,0,1988-05-17
0.85,NA,NA,NA,NA,NA,NA,0.0733317444570384,1988-04-07,0,1988-05-18
0.83,NA,NA,NA,NA,NA,NA,0.0737040830903678,1988-04-08,0,1988-05-19
0.81,NA,NA,NA,NA,NA,NA,0.040003928317343,1988-04-26,0,1988-06-06
0.84,NA,NA,NA,NA,NA,NA,0.0390651916368571,1988-04-27,0,1988-06-07
NA,NA,NA,NA,0.61,NA,NA,0.0252538401638949,1988-04-28,0,1988-06-08
0.41,NA,NA,NA,NA,NA,NA,0.021350123275419,1988-04-29,0,1988-06-09
0.7,NA,NA,NA,NA,NA,NA,0.0195489815915826,1988-05-02,0,1988-06-10
NA,NA,NA,NA,NA,NA,NA,0.0330827331110459,1988-05-17,1,1988-06-27
NA,NA,NA,NA,NA,NA,NA,0.0324332814499094,1988-05-18,1,1988-06-28
NA,NA,NA,NA,NA,NA,NA,0.0338552390598221,1988-05-19,1,1988-06-29
NA,NA,NA,NA,NA,NA,NA,0.0345061334693945,1988-05-20,1,1988-06-30
NA,NA,NA,NA,NA,NA,NA,0.0346069631977401,1988-05-23,1,1988-07-01
NA,NA,NA,NA,NA,NA,NA,0.0349444937485904,1988-05-24,1,1988-07-04
NA,NA,NA,NA,NA,NA,NA,0.0348813411254166,1988-05-25,1,1988-07-05
1.09,-0.33,NA,NA,NA,NA,NA,0.111684238803182,1988-06-13,0,1988-07-22
1.11,-0.32,NA,NA,NA,NA,NA,0.110233685397277,1988-06-14,0,1988-07-25
1.08,-0.34,NA,NA,NA,NA,NA,0.11066239429621,1988-06-15,0,1988-07-26
1.05,-0.31,NA,NA,NA,NA,NA,0.108747036733108,1988-06-16,0,1988-07-27
1.08,-0.31,NA,NA,NA,NA,NA,0.112227122769489,1988-06-17,0,1988-07-28
1.05,-0.36,NA,NA,NA,NA,NA,0.121659721759284,1988-07-05,0,1988-08-15
